system,contentType,purpose,url,notes
dc,content-source,Live Archive.org content source,https://archive.org/download/dc-chd-zstd-redump/dc-chd-zstd/,referer=https://archive.org/details/dc-chd-zstd-redump; extensions=.chd
gamecube,content-source,Live Archive.org content source,https://archive.org/download/GamecubeCollectionByGhostware/,referer=https://archive.org/details/GamecubeCollectionByGhostware; metadata-driven; extensions=.iso
genesis,catalog,Primary Archive.org catalog listing,https://ia802803.us.archive.org/view_archive.php?archive=/17/items/ni-roms/roms/Sega%20-%20Mega%20Drive%20-%20Genesis.zip,Sega Genesis
genesis,download-base,Primary Archive.org download base,https://archive.org/download/ni-roms/roms/Sega%20-%20Mega%20Drive%20-%20Genesis.zip/,Sega Genesis
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-0-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-a-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-b-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-c-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-d0-dm-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-dn-dz-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-e-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-f-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-g-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-h-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-i-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-j-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-k-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-l-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-m0-mm-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-mn-mz-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-n-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-o0-om-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-on-oz-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-p-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-q-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-r-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-s0-sh-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-si-so-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-sr-sz-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-t-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-u-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-v-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-w-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-x-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-y-redump-collection/,extensions=.chd
ps2,content-source,Live Archive.org content source,https://archive.org/download/sony-playstation-2-z-redump-collection/,extensions=.chd
ps3,content-source,Live Archive.org content source,https://archive.org/download/sony_playstation3_a_part1/,referer=https://archive.org/details/sony_playstation3_a_part1; extensions=.zip .pkg .iso
ps3,content-source,Live Archive.org content source,https://archive.org/download/sony_playstation3_a_part2/,referer=https://archive.org/details/sony_playstation3_a_part1; extensions=.zip .pkg .iso
ps3,content-source,Live Archive.org content source,https://archive.org/download/sony_playstation3_a_part3/,referer=https://archive.org/details/sony_playstation3_a_part1; extensions=.zip .pkg .iso
ps3,content-source,Live Archive.org content source,https://archive.org/download/sony_playstation3_b_part1/,referer=https://archive.org/details/sony_playstation3_a_part1; extensions=.zip .pkg .iso
ps3,content-source,Live Archive.org content source,https://archive.org/download/sony_playstation3_b_part2/,referer=https://archive.org/details/sony_playstation3_a_part1; extensions=.zip .pkg .iso
ps3,content-source,Live Archive.org content source,https://archive.org/download/sony_playstation3_b_part3/,referer=https://archive.org/details/sony_playstation3_a_part1; extensions=.zip .pkg .iso
